VISA_CLASS,BUSINESS_NAME,EMPLOYER _CITY,EMPLOYER _STATE,EMPLOYER _COUNTRY,EMPLOYER _PHONE,NAICS_CODE,JOB_TITLE,SUGGESTED _SOC_CODE,SUGGESTED_SOC_TITLE,SUPERVISOR_JOB_TITLE,SUPERVISE_OTHER_EMP,TRAVEL_REQUIRED,PRIMARY_EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUMBER_OF_MONTHS_TRAINING, ,EMP_EXPERIENCE_MONTHS,OCCUPATION_REQUIRED,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_COUNTY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,WORKSITE_COUNTS,PWD_SOC_CODE,PWD_SOC_TITLE,PWD_WAGE_RATE,PWD_UNIT_OF_PAY,PWD_WAGE_LEVEL,PWD_WAGE_SOURCE,PWD_WAGE_EXPIRATION_DATE,SURVEY_PUBLICATION_DATE
H-1B,Blue Cross Blue Shield of Kansas City,Kansas City,MISSOURI,UNITED STATES OF AMERICA,816-395-2561,524114,Applications Developer,15-1132,"Software Developers, Applications","Manager, Data Warehouse",N,N,Bachelor's,,"ComputerScience, Related or equivalent",N,,N,,N,,,Kansas City,JACKSON,MISSOURI,64108,N,1,15-1132,"Software Developers, Applications",76544,Year,Level II,OES (All Industries),30-Jun-18,
H-1B,UNIVERSITY OF CINCINNATI,CINCINNATI,OHIO,UNITED STATES OF AMERICA,513-556-2879,611310,ASSISTANT PROFESSOR OF CLINICAL MEDICINE,25-1071,"Health Specialties Teachers, Postsecondary","DEAN, DEPARTMENT OF ANESTHESIOLOGY",N,N,"Other Degree (JD, MD, etc.)",MD,MEDICINE,N,,Y,60,Y,12,ATTENDING ANESTHESIOLOGIST,CINCINNATI,HAMILTON,OHIO,45219,Y,4,29-1061,Anesthesiologists,125320,Year,Level III,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,Siaraa Technologies Inc.,PRINCETON,NEW JERSEY,UNITED STATES OF AMERICA,609-375-2174,541511,Computer Systems Engineer,15-1199,"Computer Occupations, All Other",,N,N,Bachelor's,,Electronic Engineering or Equiv.,N,,N,,Y,60,Computer Systems Engineer,Princeton,MERCER,NEW JERSEY,8540,N,1,15-1132,"Software Developers, Applications",118706,Year,Level IV,OES (All Industries),30-Jun-18,
H-1B,THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-792-1112,611310,Sr. Research Assistant,19-4021,Biological Technicians,Professor,N,N,Bachelor's,N/A,Natural Sciences,N,,N,,Y,36,Scientific or experimental research work,Smithville,BASTROP,TEXAS,78957,N,1,19-4021,Biological Technicians,34570,Year,Level II,OES (ACWIA - Higher Education),30-Jun-19,
H-1B,UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,SANTA BARBARA,CALIFORNIA,UNITED STATES OF AMERICA,805-893-2097,611310,Assistant Professor,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Professor,N,N,Doctorate (PhD),,SOCIAL SCIENCE OR RELATED,N,,N,,N,,,Santa Barbara,SANTA BARBARA,CALIFORNIA,93106,N,1,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",44510,Year,Level I,OES (ACWIA - Higher Education),30-Jun-19,
H-1B,The University of Texas M.D. Anderson Cancer Center,Houston,TEXAS,UNITED STATES OF AMERICA,713-792-1112,611310,Postdoctoral Fellow,19-1042,"Medical Scientists, Except Epidemiologists",Professor,N,N,Doctorate (PhD),,Biological Sciences,N,,N,,N,,,Houston,HARRIS,TEXAS,77030,N,1,19-1042,"Medical Scientists, Except Epidemiologists",37939,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,THE UNIVERSITY OF KANSAS,LAWRENCE,KANSAS,UNITED STATES OF AMERICA,785-864-6161,611310,Assistant Researcher,19-3092,Geographers,Senior Research Associate,N,N,Bachelor's,,"Geography, Biology, Ecology or*",N,,N,,Y,36,Using geographic information systems**,Lawrence,DOUGLAS,KANSAS,66047,N,1,19-3092,Geographers,40810,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,GEORGIA INSTITUTE OF TECHNOLOGY,ATLANTA,GEORGIA,UNITED STATES OF AMERICA,404-894-2007,611310,Postdoctoral Fellow,19-1042,"Medical Scientists, Except Epidemiologists",Academic Faculty,N,N,Doctorate (PhD),,Biology/related scientific field,N,,N,,N,,,Atlanta,FULTON(ATLANTA),GEORGIA,30332,N,1,19-1021,Biochemists and Biophysicists,41579,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,UNIVERSITY OF SOUTH CAROLINA,COLUMBIA,SOUTH CAROLINA,UNITED STATES OF AMERICA,803-777-0288,611310,Clinical Assistant Professor,25-1063,"Economics Teachers, Postsecondary","Chair, Dept. of Economics - Darla Moore School of Business",N,Y,Doctorate (PhD),N/A,Economics,N,,N,,N,,,Columbia,RICHLAND,SOUTH CAROLINA,29208,N,1,25-1063,"Economics Teachers, Postsecondary",42440,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-792-1112,611310,Fellow,19-1042,"Medical Scientists, Except Epidemiologists",Associate Professor/Fellowship Program Director,N,N,"Other Degree (JD, MD, etc.)",DDS or BDS,Dentistry,N,,Y,36,N,,,Houston,HARRIS,TEXAS,77030,Y,2,29-1024,Prosthodontists,37939,Year,Level I,OES (ACWIA - Higher Education),10-Sep-18,
H-1B,DUKE UNIVERSITY AND MEDICAL CENTER,DURHAM,NORTH CAROLINA,UNITED STATES OF AMERICA,919-681-8472,611310,"Research Associate, Sr",19-1021,Biochemists and Biophysicists,Associate Professor,N,N,Doctorate (PhD),,"Psychology, Neuroscience",N,,N,,Y,60,Postdoctoral expiernce,Durham,DURHAM,NORTH CAROLINA,27710,N,1,19-1042,"Medical Scientists, Except Epidemiologists",49566,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-500-3176,611310,Assistant Professor-Non Tenure Clinical,19-1042,"Medical Scientists, Except Epidemiologists",Chairman,N,N,"Other Degree (JD, MD, etc.)",MD or equivalent,Medicine,N,,Y,48,N,,,Houston,HARDIN,TEXAS,77088,Y,4,29-1066,Psychiatrists,82610,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,Backyard Brains,Ann Arbor,MICHIGAN,UNITED STATES OF AMERICA,734-968-7570,54171,Research Scientist,19-1029,"Biological Scientists, All Other",CEO,Y,N,Doctorate (PhD),,Neuroscience or related field,N,,N,,N,,,Ann Arbor,WASHTENAW,MICHIGAN,48104,Y,2,19-1029,"Biological Scientists, All Other",107786,Year,Level III,OES (All Industries),30-Jun-18,
H-1B,"Seoul Shik Poom, Inc.",Englewood,NEW JERSEY,UNITED STATES OF AMERICA,201-567-7780,424410,Market Analyst,13-1161,Market Research Analysts and Marketing Specialists,Director of Operation,N,N,Bachelor's,,Economics or Business Administration,N,,N,,N,,,Englewood,BERGEN,NEW JERSEY,7631,N,1,13-1161,Market Research Analysts and Marketing Specialists,46987,Year,Level I,OES (All Industries),28-Aug-18,
H-1B,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-500-3176,611310,Research Associate,19-1021,Biochemists and Biophysicists,Director,Y,N,Bachelor's,,Science,N,,N,,N,,,Houston,HARRIS,TEXAS,77030,Y,2,11-9121,Natural Sciences Managers,62941,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,The University of Texas M.D. Anderson Cancer Center,Houston,TEXAS,UNITED STATES OF AMERICA,713-792-1112,611310,"Coordinator, Clinical Research Program",19-1042,"Medical Scientists, Except Epidemiologists",Clinical Studies Supervisor,N,N,Bachelor's,,"Nursing,Public Health, Health Admin",N,,N,,Y,72,"Research Study from nursing, data gather",Houston,HARRIS,TEXAS,77030,N,1,11-9121,Natural Sciences Managers,71386,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,"PeopleFluent, Inc.",Waltham,MASSACHUSETTS,UNITED STATES OF AMERICA,781-810-8990,511210,Escalation Manager,11-1021,General and Operations Managers,Director of Global Support,N,N,Bachelor's,,"Business Administration, rel.",N,,N,,Y,60,Customer Support/Technical Support*,Raleigh,WAKE,NORTH CAROLINA,27601,N,1,11-3021,Computer and Information Systems Managers,158371,Year,Level IV,OES (All Industries),30-Jun-18,
H-1B,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-500-3176,611310,Program Manager - Research,19-1042,"Medical Scientists, Except Epidemiologists","Associate Professor, Non Tenure Clinical",Y,N,Bachelor's,N/A,Basic Science or Health Administration,N,,N,,Y,60,Clinical Research Experience,Houston,HARRIS,TEXAS,77030,Y,2,11-9121,Natural Sciences Managers,71386,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,UNIVERSITY OF CINCINNATI,CINCINNATI,OHIO,UNITED STATES OF AMERICA,513-556-6000,611310,POSTDOCTORAL FELLOW,19-1042,"Medical Scientists, Except Epidemiologists",Professor,N,N,Doctorate (PhD),,"Molecular Bio, Biochem or rel field",N,,N,,N,,,Cincinnati,Hamilton,OHIO,45237,N,1,19-1021,Biochemists and Biophysicists,41579,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,WEST VIRGINIA UNIVERSITY,MORGANTOWN,WEST VIRGINIA,UNITED STATES OF AMERICA,304-293-3519,611310,International Recruiter,13-1071,Human Resources Specialists,Executive Director,N,Y,Bachelor's,,Human Resources,N,,N,,Y,24,working in admissions,Morgantown,MONONGALIA,WEST VIRGINIA,26506,N,1,11-9033,"Education Administrators, Postsecondary",106995,Year,Level III,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,MARIANIST PROVINCE OF THE UNITED STATES,ST LOUIS,MISSOURI,UNITED STATES OF AMERICA,314-533-1207,813110,DIRECTOR OF MARIANIST EDUCATIONAL LEADERSHIP DEVELOPMENT,11-3131,Training and Development Managers,ASSISTANT FOR EDUCATION,N,Y,Master's,N/A,LEADERSHIP AND DEVELOPMENT; EDUCATION,N,,N,,Y,36,LEADERSHIP TRAINING AND RESEARCH,DAYTON,MONTGOMERY,OHIO,45469,N,1,11-3131,Training and Development Managers,93163,Year,Level III,OES (All Industries),30-Jun-18,
H-1B,"Ibex Biosciences, LLC",Cumberland,MARYLAND,UNITED STATES OF AMERICA,202-244-7702,541711,Foreign Markets Manager,13-1161,Market Research Analysts and Marketing Specialists,Chief Strategist & Chief Operating Officer,N,N,Master's,,See Eb5,N,,N,,N,,,Cumberland,ALLEGANY,MARYLAND,21502,N,1,13-1161,Market Research Analysts and Marketing Specialists,26978,Year,Level I,OES (All Industries),30-Jun-18,
H-1B,"DLD ASSET MANAGEMENT, LP",NEW YORK,NEW YORK,UNITED STATES OF AMERICA,347-735-5115,523930,INVESTOR RELATIONS ANALYST,13-2099,"Financial Specialists, All Other",,N,N,Bachelor's,,"Economics, Finance, or related field",N,,N,,N,,,NEW YORK,NEW YORK,NEW YORK,10004,N,1,13-2051,Financial Analysts,69389,Year,Level I,OES (All Industries),30-Jun-18,
H-1B,THE OHIO STATE UNIVERSITY,COLUMBUS,OHIO,UNITED STATES OF AMERICA,614-292-6101,611310,Research Associate 2-Engineer,17-2144,"Mechanical Engineers, R&D",Professors,N,N,Master's,,Engineering,N,,N,,N,,,Columbus,FRANKLIN,OHIO,43210,N,1,17-2144,"Mechanical Engineers, R&D",63835,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,AVERA MCKENNAN,SIOUX FALLS,SOUTH DAKOTA,UNITED STATES OF AMERICA,605-371-1783,622110,Hospitalist (Internist),29-1063,"Internists, General",,N,Y,"Other Degree (JD, MD, etc.)",Medical Degree,Medicine,N,,Y,36,N,,,Sioux Falls,MINNEHAHA,SOUTH DAKOTA,57105,Y,5,29-1063,"Internists, General",42328,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,Northwestern University,Evanston,ILLINOIS,UNITED STATES OF AMERICA,847-491-5613,611310,Postdoctoral Fellow,19-2032,Materials Scientists,,N,N,Doctorate (PhD),,"Materials Science, related",N,,N,,N,,,Evanston,COOK,ILLINOIS,60208,Y,2,19-2032,Materials Scientists,41309,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,SOUTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,MCCOMB,MISSISSIPPI,UNITED STATES OF AMERICA,601-249-1882,622110,Hospitalist (Internist),29-1063,"Internists, General",,N,N,"Other Degree (JD, MD, etc.)",Medical Degree,Medicine,N,,Y,36,N,,,McComb,PIKE,MISSISSIPPI,39648,Y,2,29-1063,"Internists, General",158683,Year,Level I,OES (All Industries),30-Jun-18,
H-1B,AVERA MCKENNAN,SIOUX FALLS,SOUTH DAKOTA,UNITED STATES OF AMERICA,605-371-1783,622110,Operations Research Analyst,15-2031,Operations Research Analysts,,N,Y,Master's,,structured research or clinical enviro,N,,N,,N,,,Sioux Falls,LINCOLN,SOUTH DAKOTA,57108,Y,3,15-2041,Statisticians,50190,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,AVERA ST. LUKE'S HOSPITAL,ABERDEEN,SOUTH DAKOTA,UNITED STATES OF AMERICA,605-622-5044,622110,Podiatrist,29-1081,Podiatrists,N/A,N,N,"Other Degree (JD, MD, etc.)",Doctor of Podiatric Medicine (DPM),Podiatry Medicine,N,,Y,48,N,,,Aberdeen,BROWN,SOUTH DAKOTA,57401,N,1,29-1081,Podiatrists,54413,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,"KOMODO HEALTH, INC.",SAN FRANCISCO,CALIFORNIA,UNITED STATES OF AMERICA,415-805-1425,541511,Data Scientist,15-2041,Statisticians,,N,N,Master's,,Business Admin or related field,N,,N,,Y,60,Quantitative Researcher-Healthcare Data,San Francisco,SAN FRANCISCO,CALIFORNIA,94107,N,1,15-2041,Statisticians,92955,Year,Level II,OES (All Industries),18-Jul-18,
H-1B,GEORGIA INSTITUTE OF TECHNOLOGY,ATLANTA,GEORGIA,UNITED STATES OF AMERICA,404-894-2007,611310,Research Engineer II,17-2011,Aerospace Engineers,Academic Faculty,N,N,Doctorate (PhD),,Aerospace Engineering,N,,N,,N,,,Atlanta,FULTON(ATLANTA),GEORGIA,30332,N,1,25-1032,"Engineering Teachers, Postsecondary",45160,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,West Windsor-Plainsboro Regional School District,West Windsor,NEW JERSEY,UNITED STATES OF AMERICA,609-716-5000,611110,Teacher,25-2021,"Elementary School Teachers, Except Special Education",Director of Human Resources,N,N,Bachelor's,,Teaching Chinese,N,,N,,N,,,West Windsor,MERCER,NEW JERSEY,8550,N,1,,,,,,,,1-Jul-16
H-1B,"COOPER CLINIC, PA",FORT SMITH,ARKANSAS,UNITED STATES OF AMERICA,479-274-2000,621111,Urologist,29-1069,"Physicians and Surgeons, All Other",,N,Y,"Other Degree (JD, MD, etc.)",Medical Degree,Medicine,N,,Y,72,N,,,Fort Smith,SEBASTIAN,ARKANSAS,72903,Y,4,29-1069,"Physicians and Surgeons, All Other",175531,Year,Level II,OES (All Industries),30-Jun-18,
H-1B,SNOHOMISH COUNTY PUBLIC TRANSPORTATION BENEFIT AREA CORPORATION,EVERETT,WASHINGTON,UNITED STATES OF AMERICA,425-353-7433,926120,Senior Application Analyst,15-1035,"Software Developers, Applications, R&D",Chief Technology Officer,N,N,Bachelor's,n/a,Engineering,N,,N,,Y,60,"application analyst, software engineer",Everette,SNOHOMISH,WASHINGTON,98203,N,1,15-1132,"Software Developers, Applications",151590,Year,Level IV,OES (All Industries),30-Jun-18,1-Jun-17
H-1B,THE OHIO STATE UNIVERSITY,COLUMBUS,OHIO,UNITED STATES OF AMERICA,614-292-6101,611310,Human Resource Specialist,13-1071,Human Resources Specialists,Human Resource Director,N,N,Bachelor's,,Human Resources,N,,N,,Y,24,"NOT ENOUGH SPACE- see page 2, E. a. 5.",Columbus,FRANKLIN,OHIO,43210,N,1,13-1071,Human Resources Specialists,52998,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,ILLINOIS,UNITED STATES OF AMERICA,312-996-3121,611310,Clinical Assistant Professor,25-1071,"Health Specialties Teachers, Postsecondary",Department Head,N,Y,"Other Degree (JD, MD, etc.)",DDS or DMD,Dentistry or related,N,,Y,24,N,,,Chicago,COOK,ILLINOIS,60607,N,1,29-1021,"Dentists, General",101883,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,DUNN VINEYARDS,ANGWIN,CALIFORNIA,UNITED STATES OF AMERICA,707-965-3642,312130,Assistant Winemaker,19-1012,Food Scientists and Technologists,,N,N,Bachelor's,,Viticulture and Enology,N,,N,,Y,36,Assistant Winemaker,Angwin,NAPA,CALIFORNIA,94508,N,1,19-1012,Food Scientists and Technologists,66019,Year,Level II,OES (All Industries),30-Jun-18,
H-1B,UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,GALVESTON,TEXAS,UNITED STATES OF AMERICA,409-747-8730,611310,Lead Application Systems Analyst,15-1142,Network and Computer Systems Administrators,Associate Director - Administrative Information Systems,N,N,Master's,,Information Systems/Engineering,N,,N,,Y,24,Information Systems or related,Webster,HARRIS,TEXAS,77598,Y,2,15-1052,"Computer Systems Analysts, Non R&D",66622,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,ILLINOIS,UNITED STATES OF AMERICA,312-996-3121,611310,Pharmacy Resident,19-1042,"Medical Scientists, Except Epidemiologists",Residency Program Director,N,N,"Other Degree (JD, MD, etc.)",Doctor of Pharmacy (PharmaD),Pharmacy or related,N,,Y,12,N,,,Chicago,COOK,ILLINOIS,60607,Y,2,29-1051,Pharmacists,101883,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER,HOUSTON,TEXAS,UNITED STATES OF AMERICA,713-792-1112,611310,Postdoctoral Fellow,19-1042,"Medical Scientists, Except Epidemiologists",Assistant Professor,N,N,Doctorate (PhD),,Biology,N,,N,,N,,,Houston,HARRIS,TEXAS,77054,Y,2,19-1021,Biochemists and Biophysicists,32032,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,"IDA COUNTY, IOWA COMMUNITY HOSPITAL D/B/A HORN MEMORIAL HOSPITAL",IDA GROVE,IOWA,UNITED STATES OF AMERICA,712-364-3311,622110,Medical Technologist,29-2011,Medical and Clinical Laboratory Technologists,N/A,N,N,Bachelor's,N/A,Science or Medical Technology,N,,N,,N,,,Ida Grove,IDA,IOWA,51445,N,1,29-2011,Medical and Clinical Laboratory Technologists,56389,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,ILLINOIS,UNITED STATES OF AMERICA,312-996-3121,611310,Senior Research Specialist,19-1042,"Medical Scientists, Except Epidemiologists",Assistant Professor,N,Y,Bachelor's,,Biology/Neurosci/Physiology/related,N,,N,,Y,60,Related Scientific Research,CHicago,COOK,ILLINOIS,60607,N,1,19-1042,"Medical Scientists, Except Epidemiologists",52978,Year,Level II,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,LAST FRONTIER HEALTHCARE DISTRICT,ALTURAS,CALIFORNIA,UNITED STATES OF AMERICA,530-233-5131,62211,Emergency Room Registered Nurse,29-1141,Registered Nurses,Nursing Supervisor,N,N,Bachelor's,,Nursing,N,,N,,Y,24,Emergency Room,Alturas,MODOC,CALIFORNIA,96101,N,1,29-1141,Registered Nurses,34.2,Hour,Level IV,CBA,30-Jun-18,
H-1B,UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,FLORIDA,UNITED STATES OF AMERICA,407-823-1850,611310,DATABASE MANAGER,15-1034,"Software Developers, Applications, Non R&D","Director, Knowledge Management",N,N,Bachelor's,,"Comp Science, Comp Engineering, relate",N,,N,,Y,60,"Comp App Coordinator, Programmer Analyst",Orlando,ORANGE,FLORIDA,32827,N,1,15-1036,"Software Developers, Systems Software, Non R&D",98384,Year,Level IV,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,"BIOPHARMA INFORMATIC, L.L.C.",HOUSTON,TEXAS,UNITED STATES OF AMERICA,832-875-9826,541710,CLINICAL RESEARCH COORDINATOR,19-1042,"Medical Scientists, Except Epidemiologists",PRINCIPAL INVESTIGATOR,N,N,Bachelor's,,SEE #5 BELOW,N,,N,,Y,24,SEE #5 BELOW.,HOUSTON,HARRIS,TEXAS,77084,N,1,19-1042,"Medical Scientists, Except Epidemiologists",37939,Year,Level I,OES (ACWIA - Higher Education),30-Jun-18,
H-1B,PORTNER ORTHOPEDIC REHABILITATION INC,HONOLULU,HAWAII,UNITED STATES OF AMERICA,808-596-7300,62111,PHYSICAL THERAPIST,29-1123,Physical Therapists,,N,N,Bachelor's,,Physical Therapy,N,,N,,Y,6,physical therapist,Honolulu,HONOLULU,HAWAII,96813,N,1,29-1123,Physical Therapists,68286,Year,Level I,OES (All Industries),30-Jun-18,
